F_max,blas_threads,ceiling,cubic_gain,headroom,lambda,max_block,max_frac_of_p,n_blocks,n_over_p,oracle_F_max,p,regime,rtol,seed,support_f1,tol,true_n_blocks
1.0,8,1.0,1.0,0.0,0.04,100,1.0,1,5,0.2,100,balanced,1e-05,1,0.0819753086419753,1e-07,5
1.0,8,1.0,1.0,0.0,0.06,100,1.0,1,5,0.2,100,balanced,1e-05,1,0.1271585557299843,1e-07,5
1.0,8,1.0,1.0,0.0,0.08,100,1.0,1,5,0.2,100,balanced,1e-05,1,0.20707732634338138,1e-07,5
1.0,8,1.0,1.0,0.0,0.1,100,1.0,1,5,0.2,100,balanced,1e-05,1,0.32971800433839477,1e-07,5
0.9999915002124947,8,1.062482469039261,1.062473438164046,8.499787505278356e-06,0.12000000000000001,98,0.98,2,5,0.2,100,balanced,1e-05,1,0.4949832775919732,1e-07,5
0.9999402878919769,8,1.3270149727099372,1.3269357338485384,5.9712108023135535e-05,0.13999999999999999,91,0.91,6,5,0.2,100,balanced,1e-05,1,0.6218487394957983,1e-07,5
0.9998694327578703,8,1.8136707244526342,1.813433918468011,0.00013056724212967552,0.16,82,0.82,12,5,0.2,100,balanced,1e-05,1,0.7200000000000001,1e-07,5
0.9992831723806682,8,3.6413290851160673,3.63871887985678,0.0007168276193317835,0.18,65,0.65,19,5,0.2,100,balanced,1e-05,1,0.7582417582417583,1e-07,5
0.9969711545688217,8,7.538578676376356,7.5157454867948355,0.0030288454311783175,0.19999999999999998,51,0.51,24,5,0.2,100,balanced,1e-05,1,0.7816091954022988,1e-07,5
0.9512657752403846,8,19.742167295125657,18.780048076923077,0.04873422475961542,0.22,37,0.37,27,5,0.2,100,balanced,1e-05,1,0.7928994082840236,1e-07,5
0.864973094731573,8,72.33796296296296,62.57039169065198,0.13502690526842698,0.24,24,0.24,33,5,0.2,100,balanced,1e-05,1,0.7901234567901234,1e-07,5
0.8921011874032009,8,72.33796296296296,64.53278265358803,0.10789881259679912,0.26,24,0.24,35,5,0.2,100,balanced,1e-05,1,0.7750000000000001,1e-07,5
0.8283288465520812,8,125.0,103.54110581901014,0.17167115344791883,0.28,20,0.2,40,5,0.2,100,balanced,1e-05,1,0.7354838709677419,1e-07,5
0.621658359764386,8,364.4314868804665,226.55188038060717,0.378341640235614,0.30000000000000004,14,0.14,45,5,0.2,100,balanced,1e-05,1,0.72,1e-07,5
0.5080152671755725,8,751.3148009015778,381.6793893129771,0.49198473282442745,0.32,11,0.11,50,5,0.2,100,balanced,1e-05,1,0.6896551724137931,1e-07,5
0.5091813312930374,8,751.3148009015778,382.55547054322875,0.49081866870696256,0.34,11,0.11,51,5,0.2,100,balanced,1e-05,1,0.6805555555555556,1e-07,5
0.5127118644067796,8,751.3148009015778,385.2080123266564,0.4872881355932204,0.36000000000000004,11,0.11,52,5,0.2,100,balanced,1e-05,1,0.6713286713286714,1e-07,5
0.519921875,8,751.3148009015778,390.625,0.480078125,0.38,11,0.11,56,5,0.2,100,balanced,1e-05,1,0.6330935251798561,1e-07,5
0.5707547169811321,8,751.3148009015778,428.8164665523156,0.4292452830188679,0.4,11,0.11,58,5,0.2,100,balanced,1e-05,1,0.6131386861313868,1e-07,5
0.5751944684528955,8,751.3148009015778,432.152117545376,0.42480553154710454,0.42000000000000004,11,0.11,59,5,0.2,100,balanced,1e-05,1,0.6029411764705882,1e-07,5
0.5636978579481398,8,1000.0,563.6978579481398,0.43630214205186024,0.44,10,0.1,65,5,0.2,100,balanced,1e-05,1,0.5384615384615384,1e-07,5
0.5675368898978433,8,1000.0,567.5368898978434,0.43246311010215666,0.46,10,0.1,67,5,0.2,100,balanced,1e-05,1,0.515625,1e-07,5
0.6622516556291391,8,1000.0,662.2516556291391,0.3377483443708609,0.48000000000000004,10,0.1,71,5,0.2,100,balanced,1e-05,1,0.46774193548387094,1e-07,5
0.6622516556291391,8,1000.0,662.2516556291391,0.3377483443708609,0.5,10,0.1,71,5,0.2,100,balanced,1e-05,1,0.46774193548387094,1e-07,5
1.0,8,1.0,1.0,0.0,0.02,100,1.0,1,5,0.2,100,balanced,1e-05,2,0.0554357868801971,1e-07,5
1.0,8,1.0,1.0,0.0,0.04,100,1.0,1,5,0.2,100,balanced,1e-05,2,0.08407517309594462,1e-07,5
1.0,8,1.0,1.0,0.0,0.06,100,1.0,1,5,0.2,100,balanced,1e-05,2,0.13213703099510604,1e-07,5
1.0,8,1.0,1.0,0.0,0.08,100,1.0,1,5,0.2,100,balanced,1e-05,2,0.21265141318977118,1e-07,5
1.0,8,1.0,1.0,0.0,0.1,100,1.0,1,5,0.2,100,balanced,1e-05,2,0.3134657836644592,1e-07,5
0.99999671296276,8,1.0956826815299674,1.09567907998019,3.287037239951829e-06,0.12000000000000001,97,0.97,4,5,0.2,100,balanced,1e-05,2,0.4605263157894737,1e-07,5
0.999983838283377,8,1.2432290637117598,1.2432089709959346,1.61617166229977e-05,0.13999999999999999,93,0.93,7,5,0.2,100,balanced,1e-05,2,0.6008583690987124,1e-07,5
0.99806979295405,8,3.47830926343323,3.4715954063849583,0.0019302070459500387,0.16,66,0.66,16,5,0.2,100,balanced,1e-05,2,0.7291666666666666,1e-07,5
0.9959235226510871,8,6.010518407212622,5.986016665070395,0.004076477348912921,0.18,55,0.55,21,5,0.2,100,balanced,1e-05,2,0.7709497206703911,1e-07,5
0.9935891027243189,8,12.577508898587546,12.496875781054737,0.0064108972756811156,0.19999999999999998,43,0.43,28,5,0.2,100,balanced,1e-05,2,0.788235294117647,1e-07,5
0.9861576201230434,8,19.742167295125657,19.4688887158321,0.013842379876956579,0.22,37,0.37,30,5,0.2,100,balanced,1e-05,2,0.7904191616766467,1e-07,5
0.986150140505821,8,25.4427030327702,25.09032517061421,0.013849859494179051,0.24,34,0.34,34,5,0.2,100,balanced,1e-05,2,0.7950310559006212,1e-07,5
0.8144146283543101,8,145.79384749963552,118.73664212776063,0.1855853716456899,0.26,19,0.19,39,5,0.2,100,balanced,1e-05,2,0.7692307692307693,1e-07,5
0.823804948354552,8,145.79384749963552,120.10569300984866,0.17619505164544802,0.28,19,0.19,41,5,0.2,100,balanced,1e-05,2,0.7532467532467533,1e-07,5
0.7989041095890411,8,171.46776406035664,136.986301369863,0.20109589041095888,0.30000000000000004,18,0.18,42,5,0.2,100,balanced,1e-05,2,0.7450980392156863,1e-07,5
0.43102331606217614,8,751.3148009015778,323.8341968911917,0.5689766839378239,0.32,11,0.11,46,5,0.2,100,balanced,1e-05,2,0.7248322147651006,1e-07,5
0.4335504885993485,8,751.3148009015778,325.7328990228013,0.5664495114006515,0.34,11,0.11,47,5,0.2,100,balanced,1e-05,2,0.7162162162162162,1e-07,5
0.44043679682329584,8,751.3148009015778,330.90668431502314,0.5595632031767042,0.36000000000000004,11,0.11,51,5,0.2,100,balanced,1e-05,2,0.6805555555555556,1e-07,5
0.5766897746967071,8,751.3148009015778,433.27556325823224,0.4233102253032929,0.38,11,0.11,57,5,0.2,100,balanced,1e-05,2,0.6231884057971014,1e-07,5
0.5781928757602085,8,751.3148009015778,434.4048653344918,0.4218071242397915,0.4,11,0.11,58,5,0.2,100,balanced,1e-05,2,0.6131386861313868,1e-07,5
0.6399038461538461,8,751.3148009015778,480.7692307692308,0.3600961538461539,0.42000000000000004,11,0.11,61,5,0.2,100,balanced,1e-05,2,0.582089552238806,1e-07,5
0.651174168297456,8,751.3148009015778,489.23679060665364,0.348825831702544,0.44,11,0.11,62,5,0.2,100,balanced,1e-05,2,0.5714285714285715,1e-07,5
0.656959526159921,8,751.3148009015778,493.58341559723596,0.34304047384007896,0.46,11,0.11,63,5,0.2,100,balanced,1e-05,2,0.5606060606060607,1e-07,5
0.5959475566150179,8,1000.0,595.9475566150179,0.40405244338498214,0.48000000000000004,10,0.1,65,5,0.2,100,balanced,1e-05,2,0.5384615384615384,1e-07,5
0.6756756756756757,8,1000.0,675.6756756756756,0.32432432432432434,0.5,10,0.1,69,5,0.2,100,balanced,1e-05,2,0.49206349206349204,1e-07,5
1.0,8,1.0,1.0,0.0,0.02,100,1.0,1,10,0.2,100,balanced,1e-05,0,0.0639597556593604,1e-07,5
1.0,8,1.0,1.0,0.0,0.04,100,1.0,1,10,0.2,100,balanced,1e-05,0,0.11840228245363767,1e-07,5
1.0,8,1.0,1.0,0.0,0.06,100,1.0,1,10,0.2,100,balanced,1e-05,0,0.24806201550387594,1e-07,5
0.99999896939091,8,1.0306101521283646,1.0306090899721736,1.0306090899581122e-06,0.08,99,0.99,2,10,0.2,100,balanced,1e-05,0,0.45645645645645644,1e-07,5
0.9999451333260178,8,1.3717421124828533,1.37166684955558,5.486667398224565e-05,0.1,90,0.9,8,10,0.2,100,balanced,1e-05,0,0.6403508771929824,1e-07,5
0.9992160225103386,8,2.3703703703703702,2.3685120533578394,0.0007839774896614138,0.12000000000000001,75,0.75,14,10,0.2,100,balanced,1e-05,0,0.7340425531914895,1e-07,5
0.9365894269460247,8,37.03703703703704,34.688497294297214,0.06341057305397535,0.13999999999999999,30,0.3,27,10,0.2,100,balanced,1e-05,0,0.8095238095238095,1e-07,5
0.7757294729699163,8,145.79384749963552,113.0965844831486,0.22427052703008366,0.16,19,0.19,32,10,0.2,100,balanced,1e-05,0,0.7975460122699386,1e-07,5
0.637273413897281,8,296.2962962962963,188.82175226586102,0.362726586102719,0.18,15,0.15,35,10,0.2,100,balanced,1e-05,0,0.8,1e-07,5
0.6482904341144833,8,296.2962962962963,192.0860545524395,0.3517095658855167,0.19999999999999998,15,0.15,36,10,0.2,100,balanced,1e-05,0,0.7924528301886793,1e-07,5
0.5451612903225806,8,455.1661356395084,248.13895781637717,0.45483870967741935,0.22,13,0.13,38,10,0.2,100,balanced,1e-05,0,0.7898089171974523,1e-07,5
0.5500751126690036,8,455.1661356395084,250.37556334501753,0.44992488733099645,0.24,13,0.13,39,10,0.2,100,balanced,1e-05,0,0.782051282051282,1e-07,5
0.5525653923541247,8,455.1661356395084,251.50905432595573,0.4474346076458753,0.26,13,0.13,40,10,0.2,100,balanced,1e-05,0,0.7741935483870968,1e-07,5
0.4933283914010378,8,751.3148009015778,370.64492216456637,0.5066716085989622,0.28,11,0.11,46,10,0.2,100,balanced,1e-05,0,0.7248322147651006,1e-07,5
0.5,8,751.3148009015778,375.6574004507889,0.5,0.30000000000000004,11,0.11,48,10,0.2,100,balanced,1e-05,0,0.707482993197279,1e-07,5
0.5223704866562009,8,751.3148009015778,392.4646781789639,0.4776295133437991,0.32,11,0.11,51,10,0.2,100,balanced,1e-05,0,0.6805555555555556,1e-07,5
0.5223704866562009,8,751.3148009015778,392.4646781789639,0.4776295133437991,0.34,11,0.11,51,10,0.2,100,balanced,1e-05,0,0.6805555555555556,1e-07,5
0.5401785714285714,8,751.3148009015778,405.84415584415586,0.4598214285714286,0.36000000000000004,11,0.11,54,10,0.2,100,balanced,1e-05,0,0.6524822695035462,1e-07,5
